NEW_EVENT_TAG,Element Games Grand Slam 2019,24-08-2019,5
tom Maudsley,Legion of Grief,5/0/0
Mikey Newman,Kharadron Overlords,4/0/1
Toby Meadows.,Skaven,4/0/1
Louis Meadows.,Flesh Eater Courts,4/0/1
Adam Sinclair,Ironjawz,4/0/1
Mark Busby,Daemons Of Slaanesh,4/0/1
Matt Lyons,Stormcast Eternals,4/0/1
Ritchie Mcalley.,Gloomspite Gitz,4/0/1
Tom Waller,Flesh Eater Courts,3/0/2
Matthew Bennett.,Flesh Eater Courts,3/0/2
Dan Mitchell,Skaven Pestilens,3/0/2
Byron Orde.,Legion of Blood,3/0/2
Matthew Tinsdale,Stormcast Eternals,3/0/2
Matt Sandiford,Skaven,3/0/2
Troy Hardy.,Daemons Of Slaanesh,3/0/2
paul Marshallsay.,Idoneth Deepkin,3/0/2
Adam Clark,Ironjawz,3/0/2
Laurie HW,Sylvaneth,3/0/2
Paul Buckler.,Seraphon,3/0/2
Andy Brown.,Nighthaunt,3/0/2
Travis Kelly,Fyreslayers,3/0/2
James Tinsdale.,Legion of Grief,2/0/3
James Andrews,Maggotkin of Nurgle,2/0/3
Gabe Huddlestone.,Legion of Blood,2/0/3
Paul Haley,Daughters Of Khaine,2/0/3
Chris McConville.,Daughters Of Khaine,2/0/3
Michael Wilding,Phoenix Temple,2/0/3
tim Holbrook.,Gloomspite Gitz,2/0/3
Nigel Barham,Daemons Of Tzeentch,2/0/3
Callum Watson.,Blades of Khorne,2/0/3
Matthew Robinson.,Daemons Of Nurgle,2/0/3
Lewis Sloan.,Daemons Of Tzeentch,2/0/3
Phil Muscroft,Ironjawz,2/0/3
Alex Jones.,Skaven,2/0/3
Mike Bennett,Khorne Bloodbound,2/0/3
James Eveleigh,Gloomspite Gitz,1/0/4
Dan Elkington,Mixed,1/0/4
Dan Bradshaw.,Sylvaneth,1/0/4
James Beeden,Seraphon,1/0/4
Craig Moobs Moore,Skaven,1/0/4
Alun Haines,Sylvaneth,0/0/5
tom Maudsley,Ritchie Mcalley.,tom Maudsley,Adam Sinclair,tom Maudsley,James Tinsdale.,tom Maudsley,Paul Haley,tom Maudsley,Travis Kelly
Mikey Newman,paul Marshallsay.,Mikey Newman,Dan Mitchell,Adam Sinclair,Mikey Newman,Mikey Newman,Toby Meadows.,Mikey Newman,Adam Clark
Toby Meadows.,Mark Busby,Toby Meadows.,James Tinsdale.,Toby Meadows.,Chris McConville.,Mikey Newman,Toby Meadows.,Toby Meadows.,BYE
Louis Meadows.,Laurie HW,Louis Meadows.,Andy Brown.,Louis Meadows.,Matt Sandiford,Louis Meadows.,Alun Haines,Byron Orde.,Louis Meadows
Adam Sinclair,Matthew Bennett.,tom Maudsley,Adam Sinclair,Adam Sinclair,Mikey Newman,Adam Sinclair,Phil Muscroft,Adam Sinclair,James Andrews
Toby Meadows.,Mark Busby,Mark Busby,Tom Waller,Mark Busby,Paul Buckler.,Mark Busby,Byron Orde.,Mark Busby,Lewis Sloan
Matt Lyons,Paul Buckler.,Ritchie Mcalley.,Matt Lyons,Matt Lyons,Tom Waller,Matt Lyons,Gabe Huddlestone.,Matt Lyons,Troy Hardy
tom Maudsley,Ritchie Mcalley.,Ritchie Mcalley.,Matt Lyons,Ritchie Mcalley.,Matthew Bennett.,Ritchie Mcalley.,Andy Brown.,Ritchie Mcalley.,Dan Bradshaw
Tom Waller,Travis Kelly,Mark Busby,Tom Waller,Matt Lyons,Tom Waller,Tom Waller,Alex Jones.,Tom Waller,Craig Moobs Moore
Adam Sinclair,Matthew Bennett.,Matthew Bennett.,Alex Jones.,Ritchie Mcalley.,Matthew Bennett.,Matthew Bennett.,tim Holbrook.,Matthew Bennett.,Matthew Tinsdale
Dan Mitchell,Chris McConville.,Mikey Newman,Dan Mitchell,Dan Mitchell,Michael Wilding,James Tinsdale.,Dan Mitchell,Dan Mitchell,Adam Clark
Byron Orde.,Nigel Barham,Laurie HW,Byron Orde.,Byron Orde.,Paul Haley,Mark Busby,Byron Orde.,Byron Orde.,Louis Meadows
Matthew Tinsdale,James Tinsdale.,Matthew Tinsdale,Dan Elkington,Matthew Tinsdale,James Eveleigh,Matt Sandiford,Matthew Tinsdale,Matthew Bennett.,Matthew Tinsdale
Matt Sandiford,tim Holbrook.,Matt Sandiford,Paul Haley,Louis Meadows.,Matt Sandiford,Matt Sandiford,Matthew Tinsdale,Chris McConville.,Matt Sandiford
Troy Hardy.,Alex Jones.,Paul Buckler.,Troy Hardy.,Troy Hardy.,Phil Muscroft,Matt Lyons,Troy Hardy.,Troy Hardy.,James Eveleigh
Mikey Newman,paul Marshallsay.,paul Marshallsay.,tim Holbrook.,paul Marshallsay.,Mike Bennett,paul Marshallsay.,James Eveleigh,Laurie HW,paul Marshallsay
Adam Clark,Mike Bennett,Adam Clark,Craig Moobs Moore,Adam Clark,BYE,Dan Mitchell,Adam Clark,Mikey Newman,Adam Clark
Louis Meadows.,Laurie HW,Laurie HW,Byron Orde.,Laurie HW,Callum Watson.,Dan Bradshaw.,Laurie HW,Laurie HW,paul Marshallsay
Matt Lyons,Paul Buckler.,Paul Buckler.,Troy Hardy.,Mark Busby,Paul Buckler.,Paul Buckler.,Chris McConville.,Paul Buckler.,Alun Haines
Andy Brown.,Lewis Sloan.,Louis Meadows.,Andy Brown.,Andy Brown.,Nigel Barham,Ritchie Mcalley.,Andy Brown.,Andy Brown.,Michael Wilding
Tom Waller,Travis Kelly,Travis Kelly,Gabe Huddlestone.,Travis Kelly,Lewis Sloan.,Travis Kelly,Matthew Robinson.,tom Maudsley,Travis Kelly
Matthew Tinsdale,James Tinsdale.,Toby Meadows.,James Tinsdale.,tom Maudsley,James Tinsdale.,James Tinsdale.,Mike Bennett,James Tinsdale.,Dan Mitchell
James Andrews,Dan Elkington,James Andrews,Callum Watson.,Gabe Huddlestone.,James Andrews,Lewis Sloan.,James Andrews,Adam Sinclair,James Andrews
Gabe Huddlestone.,Dan Bradshaw.,Travis Kelly,Gabe Huddlestone.,Gabe Huddlestone.,James Andrews,Nigel Barham,Gabe Huddlestone.,Matt Lyons,Gabe Huddlestone
Paul Haley,James Beeden,Matt Sandiford,Paul Haley,Byron Orde.,Paul Haley,tom Maudsley,Paul Haley,Paul Haley,Matthew Robinson
Dan Mitchell,Chris McConville.,Chris McConville.,Dan Bradshaw.,Toby Meadows.,Chris McConville.,Paul Buckler.,Chris McConville.,Chris McConville.,Matt Sandiford
Michael Wilding,James Eveleigh,Mike Bennett,Michael Wilding,Dan Mitchell,Michael Wilding,Michael Wilding,Dan Elkington,Andy Brown.,Michael Wilding
Matt Sandiford,tim Holbrook.,paul Marshallsay.,tim Holbrook.,tim Holbrook.,Craig Moobs Moore,Matthew Bennett.,tim Holbrook.,tim Holbrook.,Nigel Barham
Byron Orde.,Nigel Barham,Nigel Barham,Matthew Robinson.,Andy Brown.,Nigel Barham,Nigel Barham,Gabe Huddlestone.,tim Holbrook.,Nigel Barham
Callum Watson.,BYE,James Andrews,Callum Watson.,Laurie HW,Callum Watson.,Callum Watson.,James Beeden,Mike Bennett,Callum Watson
Matthew Robinson.,Craig Moobs Moore,Nigel Barham,Matthew Robinson.,Matthew Robinson.,James Beeden,Travis Kelly,Matthew Robinson.,Paul Haley,Matthew Robinson
Andy Brown.,Lewis Sloan.,Lewis Sloan.,Phil Muscroft,Travis Kelly,Lewis Sloan.,Lewis Sloan.,James Andrews,Mark Busby,Lewis Sloan
Phil Muscroft,Alun Haines,Lewis Sloan.,Phil Muscroft,Troy Hardy.,Phil Muscroft,Adam Sinclair,Phil Muscroft,Phil Muscroft,Dan Elkington
