NEW_EVENT_TAG,Stockholm Slaughter III,25-01-2020,3
Jesper melander,Ossiarch Bonereapers,3/0/0
Fredrik Andersson,Ogor Mawtribes,3/0/0
Björn Malmborg,Ogor Mawtribes,3/0/0
Daniel Martinell,Stormcast Eternals,2/0/1
David Bredenberg,Ossiarch Bonereapers,2/0/1
Craig Turner,Stormcast Eternals,2/0/1
Pontus Krontoft,Slaves To Darkness,2/0/1
Andreas Raland,Disciples Of Tzeentch,2/0/1
Sebastian Isheden,Seraphon,2/0/1
Adam Janson,Ossiarch Bonereapers,2/0/1
Marcus Hagberg,Flesh Eater Courts,2/0/1
Johan Börjesson,Cities of Sigmar,2/0/1
Vilhelm Stokstad,Disciples Of Tzeentch,1/0/2
Robin Slätt,Fyreslayers,1/0/2
Erik Sundberg,Cities of Sigmar,1/0/2
Lars stålkäft Lindholm,Ironjawz,1/0/2
Ludvig Palmquist,Ironjawz,1/0/2
Albin Kellqvist,Ironjawz,1/0/2
Simon Selberg,Stormcast Eternals,1/0/2
Robert Hansen,Fyreslayers,1/0/2
Robin Lundkvist,Stormcast Eternals,0/1/2
Jesper Nordqvist,Blades of Khorne,0/1/2
Nils Wallberg,Seraphon,0/0/3
Tim Lundkvist ,Grand Host of Nagash,0/0/3
Jesper melander,Daniel Martinell,Jesper melander,Andreas Raland,Jesper melander,Pontus Krontoft
Fredrik Andersson,Sebastian Isheden,Fredrik Andersson,Vilhelm Stokstad,Fredrik Andersson,Jesper Nordqvist
Björn Malmborg,Johan Börjesson,Björn Malmborg,Marcus Hagberg,Björn Malmborg,Craig Turner
Jesper melander,Daniel Martinell,Daniel Martinell,Robin Slätt,Daniel Martinell,Tim Lundkvist
David Bredenberg,Erik Sundberg,David Bredenberg,Nils Wallberg,Marcus Hagberg,David Bredenberg
Craig Turner,Simon Selberg,Craig Turner,Lars stålkäft Lindholm,Björn Malmborg,Craig Turner
Pontus Krontoft,Albin Kellqvist,Pontus Krontoft,Robin Lundkvist,Jesper melander,Pontus Krontoft
Andreas Raland,Vilhelm Stokstad,Jesper melander,Andreas Raland,Andreas Raland,Lars stålkäft Lindholm
Fredrik Andersson,Sebastian Isheden,Sebastian Isheden,Albin Kellqvist,Sebastian Isheden,Simon Selberg
Adam Janson,Robin Slätt,Johan Börjesson,Adam Janson,Adam Janson,Robin Lundkvist
Marcus Hagberg,Robert Hansen,Björn Malmborg,Marcus Hagberg,Marcus Hagberg,David Bredenberg
Björn Malmborg,Johan Börjesson,Johan Börjesson,Adam Janson,Johan Börjesson,Erik Sundberg
Andreas Raland,Vilhelm Stokstad,Fredrik Andersson,Vilhelm Stokstad,Vilhelm Stokstad,Ludvig Palmquist
Adam Janson,Robin Slätt,Daniel Martinell,Robin Slätt,Robin Slätt,Robert Hansen
David Bredenberg,Erik Sundberg,Erik Sundberg,Ludvig Palmquist,Johan Börjesson,Erik Sundberg
Lars stålkäft Lindholm,Nils Wallberg,Craig Turner,Lars stålkäft Lindholm,Andreas Raland,Lars stålkäft Lindholm
Ludvig Palmquist,Tim Lundkvist,Erik Sundberg,Ludvig Palmquist,Vilhelm Stokstad,Ludvig Palmquist
Pontus Krontoft,Albin Kellqvist,Sebastian Isheden,Albin Kellqvist,Albin Kellqvist,Nils Wallberg
Craig Turner,Simon Selberg,Simon Selberg,Jesper Nordqvist,Sebastian Isheden,Simon Selberg
Marcus Hagberg,Robert Hansen,Robert Hansen,Tim Lundkvist,Robin Slätt,Robert Hansen
Robin Lundkvist,Jesper Nordqvist,Pontus Krontoft,Robin Lundkvist,Adam Janson,Robin Lundkvist
Robin Lundkvist,Jesper Nordqvist,Simon Selberg,Jesper Nordqvist,Fredrik Andersson,Jesper Nordqvist
Lars stålkäft Lindholm,Nils Wallberg,David Bredenberg,Nils Wallberg,Albin Kellqvist,Nils Wallberg
Ludvig Palmquist,Tim Lundkvist,Robert Hansen,Tim Lundkvist,Daniel Martinell,Tim Lundkvist
