Fyreslayers,67
Disciples of Tzeentch,63
Ossiarch Bonereapers,62
Idoneth Deepkin,     60
Hosts of Slaanesh,   59
Ogor Mawtribes,      58
Bonesplitterz,       56
Daughters of Khaine, 56
Skaventide, 53
Big Waaagh, 51
Kharadron Overlords, 50
Flesh Eater Courts,  48
Cities of Sigmar,    48
Seraphon,   43
Nighthaunt, 43
Mawtribes,  43
Hedonites of Slaanesh               42
Blades of Khorne,    42
Slaves to Darkness,  41
Khorne Bloodbound,   41
Ironjawz,   41
Sylvaneth,  39
Skaven,     37
Maggotkin of Nurgle, 36
Grand Host of Nagash,35
Beasts of Chaos,     33
Gloomspite Gitz,     31
Stormcast Eternals,  26
